fullName,ugr,department,year,gender,email,sponsorship
Belaynesh Getachew,UGR/0001/15,Computer Science,5,Female,belaynesh.getachew-ug@aau.edu.et,Government
Bezawit Lulekal,UGR/3818/15,Information System,4,Female,bezawit.leulekal-ug@aau.edu.et,Government
Enyew Yirga,UGR/7887/15,Information System,4,Male,enyew.yirga-ug@aau.edu.et,Government
Belaynesh Asfaw,UGR/0002/15,Software Engineering,1,Female,belaynesh.asfaw-ug@aau.edu.et,Government
Selamawit Abdi,UGR/0003/15,Electrical Engineering,4,Female,selamawit.abdi-ug@aau.edu.et,Self-Sponsored
Aisha Adamu,UGR/0004/15,Electrical Engineering,2,Female,aisha.adamu-ug@aau.edu.et,Government
Fantu Adamu,UGR/0005/15,Civil Engineering,1,Female,fantu.adamu-ug@aau.edu.et,Government
Aster Asfaw,UGR/0006/15,Software Engineering,3,Female,aster.asfaw-ug@aau.edu.et,Government
Endelkachew Abdi,UGR/0007/15,Business Administration,4,Male,endelkachew.abdi-ug@aau.edu.et,Self-Sponsored
Bekele Ali,UGR/0008/15,Medicine,1,Male,bekele.ali-ug@aau.edu.et,Government
Aisha Abdi,UGR/0009/15,Law,2,Female,aisha.abdi-ug@aau.edu.et,Government
Abebech Adamu,UGR/0010/15,Information Systems,2,Female,abebech.adamu-ug@aau.edu.et,Government
Dawit Adamu,UGR/0011/15,Medicine,4,Male,dawit.adamu-ug@aau.edu.et,Government
Eebbisan Abdi,UGR/0012/15,Software Engineering,4,Female,eebbisan.abdi-ug@aau.edu.et,Self-Sponsored
Isayas Getachew,UGR/0013/15,Information Systems,5,Male,isayas.getachew-ug@aau.edu.et,Government
Atsede Tesfaye,UGR/0014/15,Business Administration,4,Female,atsede.tesfaye-ug@aau.edu.et,Government
Desta Ali,UGR/0015/15,Law,1,Female,desta.ali-ug@aau.edu.et,Government
Desta Abiy,UGR/0016/15,Law,4,Female,desta.abiy-ug@aau.edu.et,Government
Kassahun Tesfaye,UGR/0017/15,Law,2,Male,kassahun.tesfaye-ug@aau.edu.et,Self-Sponsored
Kassahun Adamu,UGR/0018/15,Medicine,3,Male,kassahun.adamu-ug@aau.edu.et,Government
Galaan Abebe,UGR/0019/15,Electrical Engineering,2,Male,galaan.abebe-ug@aau.edu.et,Government
Fantu Ashenafi,UGR/0020/15,Law,2,Female,fantu.ashenafi-ug@aau.edu.et,Government
Aster Tesfaye,UGR/0021/15,Software Engineering,3,Female,aster.tesfaye-ug@aau.edu.et,Government
Fantu Tesfaye,UGR/0022/15,Software Engineering,5,Female,fantu.tesfaye-ug@aau.edu.et,Self-Sponsored
Bekele Ashenafi,UGR/0023/15,Business Administration,4,Male,bekele.ashenafi-ug@aau.edu.et,Government
Fantu Abebe,UGR/0024/15,Law,5,Female,fantu.abebe-ug@aau.edu.et,Government
Aisha Adamu,UGR/0025/15,Medicine,1,Female,aisha.adamu1-ug@aau.edu.et,Government
Fantu Ali,UGR/0026/15,Computer Science,5,Female,fantu.ali-ug@aau.edu.et,Government
Selamawit Abera,UGR/0027/15,Electrical Engineering,5,Female,selamawit.abera-ug@aau.edu.et,Self-Sponsored
Abiy Adamu,UGR/0028/15,Civil Engineering,1,Male,abiy.adamu-ug@aau.edu.et,Government
Belaynesh Mohammed,UGR/0029/15,Law,5,Female,belaynesh.mohammed-ug@aau.edu.et,Government
Alemu Abdi,UGR/0030/15,Medicine,2,Male,alemu.abdi-ug@aau.edu.et,Government
Hagos Abdi,UGR/0031/15,Civil Engineering,3,Male,hagos.abdi-ug@aau.edu.et,Government
Kassa Abera,UGR/0032/15,Business Administration,2,Male,kassa.abera-ug@aau.edu.et,Self-Sponsored
Ebo Tesfaye,UGR/0033/15,Information Systems,1,Male,ebo.tesfaye-ug@aau.edu.et,Government
Belaynesh Tesfaye,UGR/0034/15,Software Engineering,1,Female,belaynesh.tesfaye-ug@aau.edu.et,Government
Kebede Tesfaye,UGR/0035/15,Law,5,Male,kebede.tesfaye-ug@aau.edu.et,Government
Abiy Tesfaye,UGR/0036/15,Electrical Engineering,2,Male,abiy.tesfaye-ug@aau.edu.et,Government
Belaynesh Abebe,UGR/0037/15,Business Administration,4,Female,belaynesh.abebe-ug@aau.edu.et,Self-Sponsored
Atsede Getachew,UGR/0038/15,Software Engineering,3,Female,atsede.getachew-ug@aau.edu.et,Government
